trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-144.74909209087838,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-192.92343445457556,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-123.3676139035304,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-106.19082087653321,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-137.59949648734562,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-143.46454995081774,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-59.653562402106346,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-193.53552102244225,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-100.77335802528043,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,12,-17.64665801546682,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",35,0,-121.64473524019763,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",35,0,-178.17696438425494,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,1,-146.52589406042586,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-132.780632884501,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-117.43906008539227,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-45.20658079456247,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-53.96543578206249,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-145.59366364668003,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-26.202888805543374,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,12,1.9622798415297853,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-77.17041871127279,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",30,17,-34.39463992844824,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-138.62107913385577,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-104.6428354857564,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-56.23021481794218,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,0,-65.00469612013528,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",20,0,-59.28931428537089,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",25,0,-72.04935073673091,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",35,0,-109.83607496470876,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,1,-88.89665354656512,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
