trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.36173894137131,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.51283480628105,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.30544634355658,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.05293588244278,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.6167981422812,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.36576992518457,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.95829620670847,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.39003941749304,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.77326901752255,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.73245513835673,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,1,-45.89882708105483,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,1,-59.64982761678899,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.79665396250874,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.31718489479029,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,1,-68.97959738156611,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.10273738832683,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.8704416612745,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.039966179288534,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.8254053661589,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.3777519942053,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.98083339669952,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.37344945074767,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,11,2.515326345061374,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.55351943521059,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.11318058182385,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.85895745885385,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.12855976401701,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.7624747310827,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.72790697061399,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-161.22763522432388,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
